make	model	tier	engine	body	approx_built
Porsche	911	occasional	flat6	coupe	1200000
Porsche	Cayenne	occasional	v6	suv	1500000
Porsche	Macan	occasional	i4	suv	800000
Porsche	Panamera	occasional	v6	sedan	300000
Porsche	Boxster	occasional	flat6	convertible	400000
Porsche	Cayman	occasional	flat6	coupe	220000
Porsche	Taycan	niche	electric	sedan	170000
Porsche	944	niche	i4	coupe	163000
Porsche	928	niche	v8	coupe	61000
Porsche	914	niche	flat4	convertible	118000
Porsche	356	niche	flat4	coupe	76000
Porsche	924	niche	i4	coupe	150000
Porsche	968	niche	i4	coupe	12776
Opel	Corsa	common	i4	hatchback	14000000
Opel	Astra	common	i4	hatchback	15000000
Opel	Insignia	occasional	i4	sedan	1500000
Opel	Mokka	occasional	i4	suv	1000000
Opel	Zafira	occasional	i4	van	2000000
Opel	Vectra	common	i4	sedan	3000000
Opel	GT	niche	i4	coupe	103000
Smart	Fortwo	occasional	i3	hatchback	2000000
Mini	Cooper	common	i4	hatchback	5000000
Mini	Countryman	occasional	i4	suv	1500000
Mini	Clubman	occasional	i4	wagon	500000
Maybach	62	rare	v12	sedan	1500
