make	model	tier	engine	body	approx_built
Jaguar	F-Pace	occasional	i4	suv	300000
Jaguar	XF	occasional	i4	sedan	500000
Jaguar	XE	occasional	i4	sedan	250000
Jaguar	XJ	occasional	v8	sedan	900000
Jaguar	F-Type	niche	v8	convertible	90000
Jaguar	E-Type	niche	i6	convertible	72500
Jaguar	I-Pace	niche	electric	suv	50000
Jaguar	E-Pace	occasional	i4	suv	250000
Jaguar	XK	niche	v8	coupe	146000
Jaguar	S-Type	occasional	v6	sedan	290000
Jaguar	X-Type	occasional	v6	sedan	350000
Jaguar	XK120	niche	i6	convertible	12000
Land Rover	Defender	occasional	i4	suv	2000000
Land Rover	Discovery	occasional	v6	suv	1200000
Land Rover	Discovery Sport	occasional	i4	suv	1000000
Land Rover	Range Rover	occasional	v8	suv	1000000
Land Rover	Range Rover Sport	occasional	v6	suv	1000000
Land Rover	Range Rover Evoque	occasional	i4	suv	1000000
Land Rover	Range Rover Velar	occasional	i4	suv	300000
Land Rover	Freelander	occasional	i4	suv	1000000
Volvo	XC90	occasional	i4	suv	1500000
Volvo	XC60	common	i4	suv	2500000
Volvo	XC40	occasional	i4	suv	1000000
Volvo	S60	occasional	i4	sedan	1500000
Volvo	V60	occasional	i4	wagon	500000
Volvo	S90	occasional	i4	sedan	300000
Volvo	V90	niche	i4	wagon	150000
Volvo	EX30	niche	electric	suv	100000
Volvo	C40	niche	electric	suv	100000
Volvo	V70	occasional	i5	wagon	1000000
Volvo	S40	occasional	i4	sedan	1000000
Volvo	P1800	niche	i4	coupe	47000
Volvo	C30	niche	i5	hatchback	200000
Polestar	2	niche	electric	sedan	200000
Polestar	3	niche	electric	suv	30000
Polestar	4	niche	electric	suv	30000
Saab	9-3	occasional	i4	sedan	1600000
Saab	9-5	occasional	i4	sedan	1000000
Saab	900	occasional	i4	hatchback	900000
Skoda	Octavia	common	i4	hatchback	7000000
Skoda	Fabia	common	i3	hatchback	5000000
Skoda	Superb	occasional	i4	sedan	1500000
Skoda	Kodiaq	occasional	i4	suv	900000
Skoda	Karoq	occasional	i4	suv	700000
Skoda	Kamiq	occasional	i3	suv	400000
Skoda	Enyaq	occasional	electric	suv	300000
Skoda	Yeti	occasional	i4	suv	685000
SEAT	Ibiza	common	i4	hatchback	6000000
SEAT	Leon	common	i4	hatchback	3000000
SEAT	Ateca	occasional	i4	suv	700000
SEAT	Arona	occasional	i3	suv	600000
Cupra	Formentor	occasional	i4	suv	300000
Cupra	Born	niche	electric	hatchback	100000
Morgan	Plus Four	niche	i4	convertible	10000
Caterham	Seven	niche	i4	convertible	20000
TVR	Griffith	niche	v8	convertible	2600
TVR	Chimaera	niche	v8	convertible	6000
Ariel	Atom	niche	i4	convertible	3000
Lada	Niva	common	i4	suv	2500000
Lada	Granta	occasional	i4	sedan	1500000
