make	model	tier	engine	body	approx_built
Nissan	Qashqai	common	i4	suv	5000000
Nissan	Juke	occasional	i4	suv	1500000
Nissan	Pathfinder	common	v6	suv	3000000
Nissan	Frontier	common	v6	pickup	3000000
Nissan	Titan	occasional	v8	pickup	400000
Nissan	Maxima	occasional	v6	sedan	1800000
Nissan	Murano	occasional	v6	suv	1500000
Nissan	Armada	occasional	v8	suv	300000
Nissan	Leaf	occasional	electric	hatchback	700000
Nissan	Micra	common	i4	hatchback	7000000
Nissan	Versa	common	i4	sedan	3000000
Nissan	Kicks	occasional	i4	suv	1500000
Nissan	GT-R	niche	v6	coupe	48000
Nissan	240Z	niche	i6	coupe	150000
Nissan	300ZX	occasional	v6	coupe	500000
Nissan	350Z	occasional	v6	coupe	260000
Nissan	370Z	niche	v6	coupe	100000
Nissan	Z	niche	v6	coupe	30000
Nissan	Silvia	occasional	i4	coupe	1000000
Nissan	Skyline	occasional	i6	sedan	1500000
Nissan	Patrol	occasional	v8	suv	1000000
Nissan	NV200	occasional	i4	van	700000
Nissan	Ariya	niche	electric	suv	100000
Nissan	Sunny	common	i4	sedan	16000000
Infiniti	Q50	occasional	v6	sedan	500000
Infiniti	QX60	occasional	v6	suv	500000
Infiniti	QX80	occasional	v8	suv	250000
Infiniti	G	occasional	v6	sedan	800000
Infiniti	FX	occasional	v6	suv	250000
Infiniti	QX50	occasional	i4	suv	300000
Infiniti	Q60	niche	v6	coupe	70000
Infiniti	Q70	niche	v6	sedan	150000
Mazda	Mazda3	common	i4	hatchback	13000000
Mazda	Mazda6	common	i4	sedan	5000000
Mazda	CX-5	common	i4	suv	4500000
Mazda	CX-30	occasional	i4	suv	1500000
Mazda	CX-9	occasional	i4	suv	1000000
Mazda	CX-50	occasional	i4	suv	250000
Mazda	CX-90	niche	i6	suv	100000
Mazda	MX-5	occasional	i4	convertible	1200000
Mazda	RX-7	occasional	rotary	coupe	811000
Mazda	RX-8	niche	rotary	coupe	192000
Mazda	Mazda2	common	i4	hatchback	4000000
Mazda	CX-3	occasional	i4	suv	1000000
Mazda	MX-30	niche	electric	suv	40000
Mazda	BT-50	occasional	i4	pickup	800000
Mazda	Mazda5	occasional	i4	van	1000000
Subaru	Outback	common	flat4	wagon	5000000
Subaru	Forester	common	flat4	suv	5000000
Subaru	Impreza	common	flat4	sedan	6000000
Subaru	WRX	occasional	flat4	sedan	800000
Subaru	Crosstrek	common	flat4	suv	3000000
Subaru	Legacy	common	flat4	sedan	5000000
Subaru	Ascent	occasional	flat4	suv	400000
Subaru	BRZ	niche	flat4	coupe	100000
Subaru	Solterra	niche	electric	suv	30000
Subaru	SVX	niche	flat6	coupe	25000
Subaru	Baja	niche	flat4	pickup	30000
Subaru	Tribeca	niche	flat6	suv	78000
Subaru	Levorg	occasional	flat4	wagon	300000
Mitsubishi	Outlander	common	i4	suv	3500000
Mitsubishi	Lancer	common	i4	sedan	6000000
Mitsubishi	Lancer Evolution	niche	i4	sedan	110000
Mitsubishi	Pajero	common	v6	suv	3200000
Mitsubishi	Eclipse	occasional	i4	coupe	900000
Mitsubishi	Eclipse Cross	occasional	i4	suv	500000
Mitsubishi	Mirage	common	i3	hatchback	3000000
Mitsubishi	Triton	common	i4	pickup	5000000
Mitsubishi	ASX	occasional	i4	suv	1500000
Mitsubishi	3000GT	occasional	v6	coupe	300000
Mitsubishi	Galant	common	i4	sedan	5000000
Mitsubishi	i-MiEV	niche	electric	hatchback	50000
Suzuki	Swift	common	i4	hatchback	9000000
Suzuki	Jimny	common	i4	suv	3000000
Suzuki	Vitara	common	i4	suv	4000000
Suzuki	SX4	occasional	i4	hatchback	1000000
Suzuki	Alto	common	i3	hatchback	15000000
Suzuki	Kizashi	niche	i4	sedan	30000
Suzuki	Dzire	common	i4	sedan	3000000
Suzuki	Ertiga	common	i4	van	3000000
Suzuki	Baleno	common	i4	hatchback	2500000
Suzuki	Wagon R	common	i3	hatchback	8000000
Daihatsu	Copen	niche	i3	convertible	70000
Isuzu	D-Max	common	i4	pickup	3000000
